Category 	 ID 	 Algorithm 	 idRun 	 HV 	 Time
C1	_2_1	bd1	1	1.00071	2812.27
C1	_2_1	bd1	2	0.76133	2881.63
C1	_2_1	bd1	3	1.00093	2521.25
C1	_2_1	bd1	4	1.00364	2615.37
C1	_2_1	bd1	5	1.00071	2832.98
C1	_2_1	bd1	6	1.00093	1557.47
C1	_2_1	bd1	7	1.00093	2304.43
C1	_2_1	bd1	8	1.00093	2321.42
C1	_2_1	bd1	9	1.00093	2537.89
C1	_2_1	bd1	10	1.00093	2333.38
C1	_2_1	bd1	11	1.00071	2563.98
C1	_2_1	bd1	12	0.74957	2881.2
C1	_2_1	bd1	13	1.00093	1050.49
C1	_2_1	bd1	14	1.00093	2469.43
C1	_2_1	bd1	15	1.00093	2321.11
C1	_2_1	bd1	16	0.71379	2880.01
C1	_2_1	bd1	17	1.00071	1414.46
C1	_2_1	bd1	18	1.00093	1974.08
C1	_2_1	bd1	19	0.7597	2883.29
C1	_2_1	bd1	20	1.00093	2451.49
C1	_2_1	bd1	21	0.75153	2881.9
C1	_2_1	bd1	22	1.00093	1754.03
C1	_2_1	bd1	23	0.76133	2880.34
C1	_2_1	bd1	24	1.00093	2348.58
C1	_2_1	bd1	25	1.00093	1251.71
C1	_2_1	bd1	26	1.00071	2820.34
C1	_2_1	bd1	27	1.00062	2274.21
C1	_2_1	bd1	28	1.00071	2769.66
C1	_2_1	bd1	29	1.00093	2552.9
C1	_2_1	bd1	30	1.00093	2728.26
C1	_2_1	bd2	1	1.00093	2612.67
C1	_2_1	bd2	2	1.00093	2370.22
C1	_2_1	bd2	3	0.70658	2882.39
C1	_2_1	bd2	4	0.92653	1885.75
C1	_2_1	bd2	5	1.00093	1669.75
C1	_2_1	bd2	6	0.68697	2881.26
C1	_2_1	bd2	7	0.73343	2880.05
C1	_2_1	bd2	8	1.00093	2250.7
C1	_2_1	bd2	9	1.00093	1930.38
C1	_2_1	bd2	10	1.00093	1632.4
C1	_2_1	bd2	11	0.73269	2881.05
C1	_2_1	bd2	12	0.54163	2882.47
C1	_2_1	bd2	13	0.73689	2880.54
C1	_2_1	bd2	14	0.83458	2795.79
C1	_2_1	bd2	15	0.79153	2881.95
C1	_2_1	bd2	16	1.00093	1664.93
C1	_2_1	bd2	17	1.00071	2185.86
C1	_2_1	bd2	18	1.00093	1488.14
C1	_2_1	bd2	19	0.57208	2883.41
C1	_2_1	bd2	20	1.00093	1795.89
C1	_2_1	bd2	21	1.00093	2850.63
C1	_2_1	bd2	22	1.00093	1473.35
C1	_2_1	bd2	23	0.73395	2880.1
C1	_2_1	bd2	24	0.96592	2133.06
C1	_2_1	bd2	25	1.00071	2768.47
C1	_2_1	bd2	26	1.00093	1730.14
C1	_2_1	bd2	27	0.95209	1987.79
C1	_2_1	bd2	28	0.57742	2880.05
C1	_2_1	bd2	29	1.00093	1850.97
C1	_2_1	bd2	30	0.73417	2881.85
C1	_2_1	bd3	1	0.71161	2880.03
C1	_2_1	bd3	2	0.69495	2880.8
C1	_2_1	bd3	3	1.00093	2425.79
C1	_2_1	bd3	4	0.72669	2880.05
C1	_2_1	bd3	5	1.00071	1895.51
C1	_2_1	bd3	6	0.73284	2881.32
C1	_2_1	bd3	7	0.3099	2886.55
C1	_2_1	bd3	8	1.00093	2353.91
C1	_2_1	bd3	9	1.00093	2837.13
C1	_2_1	bd3	10	0.77537	2880.84
C1	_2_1	bd3	11	1.00071	2646.69
C1	_2_1	bd3	12	0.73417	2880.1
C1	_2_1	bd3	13	0.76192	2881.18
C1	_2_1	bd3	14	0.49083	2880.08
C1	_2_1	bd3	15	1.00071	2841.93
C1	_2_1	bd3	16	1.00093	1975.9
C1	_2_1	bd3	17	0.71493	2883.24
C1	_2_1	bd3	18	1.00071	1405.13
C1	_2_1	bd3	19	1.00093	2350.35
C1	_2_1	bd3	20	1.00093	2612.9
C1	_2_1	bd3	21	0.47056	2882.15
C1	_2_1	bd3	22	1.00071	2755.79
C1	_2_1	bd3	23	0.93802	1983.08
C1	_2_1	bd3	24	0.6348	2881.76
C1	_2_1	bd3	25	1.00093	2574.5
C1	_2_1	bd3	26	1.00093	1597.33
C1	_2_1	bd3	27	0.81817	2509.62
C1	_2_1	bd3	28	0.72452	2882.49
C1	_2_1	bd3	29	1.00093	2147.43
C1	_2_1	bd3	30	0.75101	2881.7
C1	_2_1	fbd1	1	0.7321	2880.22
C1	_2_1	fbd1	2	0.75175	2881.53
C1	_2_1	fbd1	3	1.00364	734.58
C1	_2_1	fbd1	4	1.00093	435.44
C1	_2_1	fbd1	5	1.00093	425.43
C1	_2_1	fbd1	6	1.00093	640.9
C1	_2_1	fbd1	7	1.00364	545.1
C1	_2_1	fbd1	8	1.00071	550.51
C1	_2_1	fbd1	9	0.72289	2880.06
C1	_2_1	fbd1	10	1.00093	502.0
C1	_2_1	fbd1	11	0.74869	2880.05
C1	_2_1	fbd1	12	1.00093	532.47
C1	_2_1	fbd1	13	1.00093	543.53
C1	_2_1	fbd1	14	1.00364	519.42
C1	_2_1	fbd1	15	1.00071	1887.63
C1	_2_1	fbd1	16	1.00071	521.98
C1	_2_1	fbd1	17	1.00093	592.86
C1	_2_1	fbd1	18	1.00093	568.2
C1	_2_1	fbd1	19	0.76192	2882.56
C1	_2_1	fbd1	20	0.72584	2881.31
C1	_2_1	fbd1	21	0.75079	2880.09
C1	_2_1	fbd1	22	0.93414	511.2
C1	_2_1	fbd1	23	1.00093	506.47
C1	_2_1	fbd1	24	1.00093	509.07
C1	_2_1	fbd1	25	0.96947	678.22
C1	_2_1	fbd1	26	1.00093	343.0
C1	_2_1	fbd1	27	0.75373	2882.99
C1	_2_1	fbd1	28	1.00093	457.05
C1	_2_1	fbd1	29	1.00071	530.47
C1	_2_1	fbd1	30	1.00093	394.5
C1	_2_1	fbd2	1	0.93673	539.18
C1	_2_1	fbd2	2	1.00093	517.78
C1	_2_1	fbd2	3	1.00105	300.95
C1	_2_1	fbd2	4	1.00364	545.68
C1	_2_1	fbd2	5	1.00093	528.8
C1	_2_1	fbd2	6	1.00093	1430.28
C1	_2_1	fbd2	7	1.00093	466.31
C1	_2_1	fbd2	8	1.00093	671.22
C1	_2_1	fbd2	9	1.00093	501.29
C1	_2_1	fbd2	10	1.00093	282.59
C1	_2_1	fbd2	11	1.00093	949.02
C1	_2_1	fbd2	12	1.00093	728.69
C1	_2_1	fbd2	13	1.00093	2413.3
C1	_2_1	fbd2	14	1.00034	980.94
C1	_2_1	fbd2	15	1.00093	997.44
C1	_2_1	fbd2	16	1.00093	1300.6
C1	_2_1	fbd2	17	1.00364	748.03
C1	_2_1	fbd2	18	1.00093	539.55
C1	_2_1	fbd2	19	1.00093	659.01
C1	_2_1	fbd2	20	0.73469	2883.15
C1	_2_1	fbd2	21	1.00364	674.39
C1	_2_1	fbd2	22	1.00093	514.92
C1	_2_1	fbd2	23	1.00071	589.17
C1	_2_1	fbd2	24	1.00093	567.17
C1	_2_1	fbd2	25	1.00093	518.43
C1	_2_1	fbd2	26	1.00364	765.7
C1	_2_1	fbd2	27	1.00364	603.39
C1	_2_1	fbd2	28	1.00364	852.47
C1	_2_1	fbd2	29	1.00093	401.03
C1	_2_1	fbd2	30	1.00093	989.64
C1	_2_1	fbd3	1	1.00093	508.57
C1	_2_1	fbd3	2	1.00093	596.89
C1	_2_1	fbd3	3	1.00093	550.44
C1	_2_1	fbd3	4	1.00071	430.83
C1	_2_1	fbd3	5	1.00093	627.89
C1	_2_1	fbd3	6	1.00364	465.58
C1	_2_1	fbd3	7	1.00093	450.3
C1	_2_1	fbd3	8	1.00093	1442.86
C1	_2_1	fbd3	9	1.00093	581.52
C1	_2_1	fbd3	10	1.00093	577.8
C1	_2_1	fbd3	11	1.00093	495.93
C1	_2_1	fbd3	12	1.00093	475.09
C1	_2_1	fbd3	13	1.00364	438.38
C1	_2_1	fbd3	14	1.00093	478.84
C1	_2_1	fbd3	15	1.00093	505.6
C1	_2_1	fbd3	16	1.00093	407.38
C1	_2_1	fbd3	17	1.00093	526.53
C1	_2_1	fbd3	18	1.00093	2032.44
C1	_2_1	fbd3	19	1.00093	617.31
C1	_2_1	fbd3	20	1.00034	446.62
C1	_2_1	fbd3	21	1.00093	555.06
C1	_2_1	fbd3	22	1.00093	755.94
C1	_2_1	fbd3	23	1.00093	460.67
C1	_2_1	fbd3	24	0.93742	699.47
C1	_2_1	fbd3	25	1.00093	325.72
C1	_2_1	fbd3	26	1.00093	418.41
C1	_2_1	fbd3	27	1.00093	548.63
C1	_2_1	fbd3	28	1.00034	512.42
C1	_2_1	fbd3	29	1.00093	441.52
C1	_2_1	fbd3	30	1.00093	464.76
C1	_2_1	moeadls	1	0.00339	2881.59
C1	_2_1	moeadls	2	0.28854	2880.85
C1	_2_1	moeadls	3	0.0	2887.12
C1	_2_1	moeadls	4	0.0	2882.85
C1	_2_1	moeadls	5	0.0	2880.06
C1	_2_1	moeadls	6	0.0	2881.4
C1	_2_1	moeadls	7	0.0	2882.92
C1	_2_1	moeadls	8	0.0	2881.12
C1	_2_1	moeadls	9	0.0	2881.24
C1	_2_1	moeadls	10	0.0	2880.52
C1	_2_1	moeadls	11	0.0	2880.22
C1	_2_1	moeadls	12	0.0	2883.52
C1	_2_1	moeadls	13	0.0	2880.73
C1	_2_1	moeadls	14	0.0	2889.46
C1	_2_1	moeadls	15	0.0	2886.11
C1	_2_1	moeadls	16	0.0	2882.53
C1	_2_1	moeadls	17	0.0	2880.05
C1	_2_1	moeadls	18	0.0	2882.86
C1	_2_1	moeadls	19	0.37971	2882.54
C1	_2_1	moeadls	20	0.0	2880.39
C1	_2_1	moeadls	21	0.0	2881.03
C1	_2_1	moeadls	22	0.04784	2880.1
C1	_2_1	moeadls	23	0.0	2883.18
C1	_2_1	moeadls	24	0.0	2881.42
