Instance & Correlation & Front Size & Best Ideal & Best Nadir \\
C1_2_1 & -1.0 & 2 & [2701.4, 0.0] & [2702.1, 87.4] & \\
C1_2_2 & -0.98 & 4 & [2842.8, 0.0] & [2858.5, 106.8] & \\
C1_2_3 & -0.92 & 4 & [2877.9, 0.0] & [3151.1, 38.6] & \\
C1_2_4 & -0.59 & 3 & [2810.6, 0.0] & [2957.7, 27.9] & \\
C1_2_5 & 0.0 & 1 & [2694.9, 0.0] & [2694.9, 0.0] & \\
C1_2_6 & -1.0 & 2 & [2697.5, 0.0] & [2700.4, 36.8] & \\
C1_2_7 & 0.0 & 1 & [2694.9, 0.0] & [2694.9, 0.0] & \\
C1_2_8 & 0.0 & 1 & [2698.9, 0.0] & [2698.9, 0.0] & \\
C1_2_9 & 0.0 & 1 & [2718.8, 0.0] & [2718.8, 0.0] & \\
C1_2_10 & 0.0 & 1 & [2819.4, 0.0] & [2819.4, 0.0] & \\
C2_2_1 & 0.0 & 1 & [1924.1, 0.0] & [1924.1, 0.0] & \\
C2_2_2 & -0.95 & 7 & [1863.1, 0.0] & [1897.7, 317.8] & \\
C2_2_3 & -0.97 & 5 & [1908.7, 0.0] & [1958.1, 3767.5] & \\
C2_2_4 & -0.97 & 6 & [1950.8, 0.0] & [1989.7, 633.0] & \\
C2_2_5 & 0.0 & 1 & [1872.3, 0.0] & [1872.3, 0.0] & \\
C2_2_6 & -0.86 & 3 & [1850.5, 0.0] & [1852.3, 0.8] & \\
C2_2_7 & 0.0 & 1 & [1842.2, 0.0] & [1842.2, 0.0] & \\
C2_2_8 & 0.0 & 1 & [1818.8, 0.0] & [1818.8, 0.0] & \\
C2_2_9 & -1.0 & 2 & [1852.4, 0.0] & [1858.7, 88.8] & \\
C2_2_10 & 0.0 & 1 & [1812.5, 0.0] & [1812.5, 0.0] & \\
R1_2_1 & -0.92 & 91 & [4896.4, 0.0] & [8593.9, 5036.4] & \\
R1_2_2 & -0.91 & 61 & [4387.6, 0.0] & [7570.3, 3849.6] & \\
R1_2_3 & -0.9 & 41 & [3912.6, 0.0] & [5995.9, 3452.3] & \\
R1_2_4 & -0.87 & 25 & [3655.8, 0.0] & [4577.9, 2147.3] & \\
R1_2_5 & -0.94 & 48 & [4376.4, 0.0] & [6487.4, 4210.5] & \\
R1_2_6 & -0.93 & 51 & [4056.0, 0.0] & [5831.8, 3631.3] & \\
R1_2_7 & -0.87 & 24 & [3755.4, 0.0] & [4904.4, 2846.1] & \\
R1_2_8 & -0.85 & 8 & [3604.5, 0.0] & [3943.1, 1321.1] & \\
R1_2_9 & -0.94 & 33 & [4254.5, 0.0] & [5638.7, 2059.8] & \\
R1_2_10 & -0.93 & 21 & [3856.7, 0.0] & [4427.6, 1318.8] & \\
R2_2_1 & -0.82 & 95 & [3587.0, 0.0] & [5877.0, 16088.0] & \\
R2_2_2 & -0.88 & 76 & [3168.3, 0.0] & [5021.2, 9942.9] & \\
R2_2_3 & -0.9 & 56 & [2661.8, 0.0] & [4066.3, 11448.8] & \\
R2_2_4 & -0.85 & 28 & [2175.8, 0.0] & [2663.0, 7594.3] & \\
R2_2_5 & -0.81 & 44 & [3236.9, 0.0] & [4331.5, 9493.3] & \\
R2_2_6 & -0.88 & 46 & [2859.8, 0.0] & [3842.1, 8629.0] & \\
R2_2_7 & -0.9 & 24 & [2517.6, 0.0] & [3277.0, 5595.1] & \\
R2_2_8 & -0.96 & 21 & [2090.0, 0.0] & [2383.1, 3718.1] & \\
R2_2_9 & -0.84 & 51 & [3020.1, 0.0] & [3873.4, 10190.0] & \\
R2_2_10 & -0.89 & 25 & [2761.5, 0.0] & [3237.3, 4546.8] & \\
