Category 	 ID 	 Algorithm 	 idRun 	 HV 	 Time
C1	01	fbd1	1	1.002	51.93
C1	01	fbd1	2	1.002	52.94
C1	01	fbd1	3	1.002	48.05
C1	01	fbd1	4	1.002	53.77
C1	01	fbd1	5	1.002	62.79
C1	01	fbd1	6	1.002	59.93
C1	01	fbd1	7	1.002	60.39
C1	01	fbd1	8	1.002	54.67
C1	01	fbd1	9	1.002	47.0
C1	01	fbd1	10	1.002	72.06
C1	01	fbd1	11	1.002	54.67
C1	01	fbd1	12	1.002	57.16
C1	01	fbd1	13	1.002	77.14
C1	01	fbd1	14	1.002	61.79
C1	01	fbd1	15	1.002	54.53
C1	01	fbd1	16	1.002	46.92
C1	01	fbd1	17	1.002	45.89
C1	01	fbd1	18	1.002	52.76
C1	01	fbd1	19	1.002	63.69
C1	01	fbd1	20	1.002	34.87
C1	01	fbd1	21	1.002	66.0
C1	01	fbd1	22	1.002	59.2
C1	01	fbd1	23	1.002	50.53
C1	01	fbd1	24	1.002	54.2
C1	01	fbd1	25	1.002	50.56
C1	01	fbd1	26	1.002	49.53
C1	01	fbd1	27	1.002	66.92
C1	01	fbd1	28	1.002	45.06
C1	01	fbd1	29	1.002	43.8
C1	01	fbd1	30	1.002	64.45
C1	01	fbd2	1	1.002	56.81
C1	01	fbd2	2	1.002	51.15
C1	01	fbd2	3	1.002	44.75
C1	01	fbd2	4	1.002	53.81
C1	01	fbd2	5	1.002	58.7
C1	01	fbd2	6	1.002	62.9
C1	01	fbd2	7	1.002	57.41
C1	01	fbd2	8	1.002	57.56
C1	01	fbd2	9	1.002	62.44
C1	01	fbd2	10	1.002	47.57
C1	01	fbd2	11	1.002	66.71
C1	01	fbd2	12	1.002	44.1
C1	01	fbd2	13	1.002	56.87
C1	01	fbd2	14	1.002	48.27
C1	01	fbd2	15	1.002	65.79
C1	01	fbd2	16	1.002	61.85
C1	01	fbd2	17	1.002	70.42
C1	01	fbd2	18	1.002	63.65
C1	01	fbd2	19	1.002	39.26
C1	01	fbd2	20	1.002	43.3
C1	01	fbd2	21	1.002	60.75
C1	01	fbd2	22	1.002	44.45
C1	01	fbd2	23	1.002	64.82
C1	01	fbd2	24	1.002	82.72
C1	01	fbd2	25	1.002	66.14
C1	01	fbd2	26	1.002	56.16
C1	01	fbd2	27	1.002	69.85
C1	01	fbd2	28	1.002	40.06
C1	01	fbd2	29	1.002	43.32
C1	01	fbd2	30	1.002	77.17
C1	01	fbd3	1	1.002	58.52
C1	01	fbd3	2	1.002	61.36
C1	01	fbd3	3	1.002	55.1
C1	01	fbd3	4	1.002	55.19
C1	01	fbd3	5	1.002	62.17
C1	01	fbd3	6	1.002	44.68
C1	01	fbd3	7	1.002	77.04
C1	01	fbd3	8	1.002	42.39
C1	01	fbd3	9	1.002	84.57
C1	01	fbd3	10	1.002	54.14
C1	01	fbd3	11	1.002	54.37
C1	01	fbd3	12	1.002	51.32
C1	01	fbd3	13	1.002	71.62
C1	01	fbd3	14	1.002	81.72
C1	01	fbd3	15	1.002	40.25
C1	01	fbd3	16	1.002	66.83
C1	01	fbd3	17	1.002	62.82
C1	01	fbd3	18	1.002	50.34
C1	01	fbd3	19	1.002	44.32
C1	01	fbd3	20	1.002	49.17
C1	01	fbd3	21	1.002	43.64
C1	01	fbd3	22	1.002	73.7
C1	01	fbd3	23	1.002	71.02
C1	01	fbd3	24	1.002	67.98
C1	01	fbd3	25	1.002	70.77
C1	01	fbd3	26	1.002	60.23
C1	01	fbd3	27	1.002	56.74
C1	01	fbd3	28	1.002	51.05
C1	01	fbd3	29	1.002	62.96
C1	01	fbd3	30	1.002	66.09
C1	01	bd1	1	1.002	159.12
C1	01	bd1	2	1.002	213.4
C1	01	bd1	3	1.002	219.46
C1	01	bd1	4	1.002	240.1
C1	01	bd1	5	1.002	378.43
C1	01	bd1	6	1.002	446.11
C1	01	bd1	7	1.002	182.01
C1	01	bd1	8	1.002	283.02
C1	01	bd1	9	1.002	143.16
C1	01	bd1	10	1.002	277.9
C1	01	bd1	11	1.002	217.99
C1	01	bd1	12	1.002	176.99
C1	01	bd1	13	1.002	288.54
C1	01	bd1	14	1.002	182.91
C1	01	bd1	15	1.002	255.23
C1	01	bd1	16	1.002	225.2
C1	01	bd1	17	1.002	166.36
C1	01	bd1	18	1.002	227.97
C1	01	bd1	19	1.002	159.57
C1	01	bd1	20	1.002	191.19
C1	01	bd1	21	1.002	229.18
C1	01	bd1	22	1.002	198.41
C1	01	bd1	23	1.002	255.29
C1	01	bd1	24	1.002	225.79
C1	01	bd1	25	1.002	332.43
C1	01	bd1	26	1.002	202.11
C1	01	bd1	27	1.002	185.72
C1	01	bd1	28	1.002	253.63
C1	01	bd1	29	1.002	167.24
C1	01	bd1	30	1.002	198.98
C1	01	bd2	1	1.002	145.26
C1	01	bd2	2	1.002	121.68
C1	01	bd2	3	1.002	188.2
C1	01	bd2	4	1.002	223.21
C1	01	bd2	5	1.002	216.37
C1	01	bd2	6	1.002	207.49
C1	01	bd2	7	1.002	273.46
C1	01	bd2	8	1.002	193.83
C1	01	bd2	9	1.002	134.63
C1	01	bd2	10	1.002	158.35
C1	01	bd2	11	1.002	212.23
C1	01	bd2	12	1.002	208.6
C1	01	bd2	13	1.002	171.94
C1	01	bd2	14	1.002	180.81
C1	01	bd2	15	1.002	239.63
C1	01	bd2	16	1.002	265.05
C1	01	bd2	17	1.002	195.7
C1	01	bd2	18	1.002	251.41
C1	01	bd2	19	1.002	164.08
C1	01	bd2	20	1.002	145.79
C1	01	bd2	21	1.002	173.8
C1	01	bd2	22	1.002	291.57
C1	01	bd2	23	1.002	92.63
C1	01	bd2	24	1.002	318.24
C1	01	bd2	25	1.002	213.9
C1	01	bd2	26	1.002	128.57
C1	01	bd2	27	1.002	199.12
C1	01	bd2	28	1.002	130.08
C1	01	bd2	29	1.002	239.99
C1	01	bd2	30	1.002	228.42
C1	01	bd3	1	1.002	275.65
C1	01	bd3	2	1.002	171.3
C1	01	bd3	3	1.002	148.02
C1	01	bd3	4	1.002	202.24
C1	01	bd3	5	1.002	171.11
