Instance & Correlation & Front Size & Best Ideal & Best Nadir \\
C101 & 0.0 & 1 & [827.3, 0.0] & [827.3, 0.0] & \\
C102 & 0.0 & 1 & [827.3, 0.0] & [827.3, 0.0] & \\
C103 & -1.0 & 2 & [826.3, 0.0] & [827.3, 43.7] & \\
C104 & -1.0 & 2 & [822.9, 0.0] & [826.3, 32.4] & \\
C105 & 0.0 & 1 & [827.3, 0.0] & [827.3, 0.0] & \\
C106 & 0.0 & 1 & [827.3, 0.0] & [827.3, 0.0] & \\
C107 & 0.0 & 1 & [827.3, 0.0] & [827.3, 0.0] & \\
C108 & 0.0 & 1 & [827.3, 0.0] & [827.3, 0.0] & \\
C109 & 0.0 & 1 & [827.3, 0.0] & [827.3, 0.0] & \\
C201 & 0.0 & 1 & [589.1, 0.0] & [589.1, 0.0] & \\
C202 & 0.0 & 1 & [589.1, 0.0] & [589.1, 0.0] & \\
C203 & 0.0 & 1 & [588.7, 0.0] & [588.7, 0.0] & \\
C204 & 0.0 & 1 & [588.1, 0.0] & [588.1, 0.0] & \\
C205 & 0.0 & 1 & [586.4, 0.0] & [586.4, 0.0] & \\
C206 & 0.0 & 1 & [586.0, 0.0] & [586.0, 0.0] & \\
C207 & 0.0 & 1 & [585.8, 0.0] & [585.8, 0.0] & \\
C208 & 0.0 & 1 & [585.8, 0.0] & [585.8, 0.0] & \\
R101 & -0.89 & 442 & [1638.2, 0.0] & [2075.0, 509.6] & \\
R102 & -0.91 & 109 & [1466.9, 0.0] & [1669.3, 357.2] & \\
R103 & -0.78 & 32 & [1226.5, 0.0] & [1290.4, 164.9] & \\
R104 & -0.66 & 8 & [1000.3, 0.0] & [1011.4, 89.4] & \\
R105 & -0.85 & 26 & [1355.8, 0.0] & [1391.5, 58.2] & \\
R106 & -0.92 & 8 & [1245.4, 0.0] & [1261.2, 18.6] & \\
R107 & -0.97 & 5 & [1073.4, 0.0] & [1084.9, 17.7] & \\
R108 & -1.0 & 2 & [957.6, 0.0] & [958.0, 20.4] & \\
R109 & 0.0 & 1 & [1159.1, 0.0] & [1159.1, 0.0] & \\
R110 & 0.0 & 1 & [1092.6, 0.0] & [1092.6, 0.0] & \\
R111 & 0.0 & 1 & [1060.8, 0.0] & [1060.8, 0.0] & \\
R112 & 0.0 & 1 & [966.6, 0.0] & [966.6, 0.0] & \\
R201 & -0.94 & 132 & [1161.9, 0.0] & [1443.5, 2359.4] & \\
R202 & -0.9 & 99 & [1054.0, 0.0] & [1279.5, 2039.1] & \\
R203 & -0.9 & 100 & [885.1, 0.0] & [1039.7, 1818.2] & \\
R204 & -0.97 & 30 & [741.4, 0.0] & [779.8, 630.3] & \\
R205 & -0.92 & 50 & [955.8, 0.0] & [1064.8, 927.2] & \\
R206 & -0.83 & 62 & [890.4, 0.0] & [961.3, 978.0] & \\
R207 & -0.95 & 43 & [809.9, 0.0] & [870.3, 579.5] & \\
R208 & -0.96 & 8 & [714.3, 0.0] & [727.6, 174.9] & \\
R209 & -0.98 & 24 & [856.1, 0.0] & [897.7, 358.6] & \\
R210 & -0.92 & 61 & [921.4, 0.0] & [1001.7, 987.6] & \\
R211 & 0.0 & 1 & [761.2, 0.0] & [761.2, 0.0] & \\
