0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 3 68 80 77 28 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 20 70 0 # 0 33 81 65 34 29 24 39 67 23 41 22 75 56 74 72 4 55 25 54 58 0 # 0 53 0 # 0 27 69 1 50 76 12 26 40 21 73 2 87 97 95 94 6 13 96 59 37 100 98 93 61 17 60 89 0 # | 1.0 0.0 
0 92 42 57 15 43 14 44 38 86 16 91 85 59 96 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 20 70 0 # 0 27 69 1 50 76 12 26 40 21 73 2 87 97 95 94 6 13 37 100 98 93 61 17 60 89 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 3 68 80 77 28 0 # 0 33 81 65 34 29 24 39 67 23 41 22 75 56 74 72 4 55 25 54 58 0 # 0 53 0 # | 1.0 0.0 
0 52 18 83 45 46 36 64 11 62 88 31 30 51 9 78 79 3 68 80 77 28 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 71 35 20 70 0 # 0 33 81 65 34 29 24 39 67 23 41 22 75 56 74 72 4 55 25 54 58 0 # 0 53 0 # 0 27 69 1 50 76 12 26 40 21 73 2 87 97 95 94 6 13 96 59 37 100 98 93 61 17 60 89 0 # | 1.0 0.0 
0 27 69 1 50 76 12 26 40 21 73 2 87 97 95 94 6 13 96 37 100 98 93 61 17 60 89 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 59 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 20 70 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 3 68 80 77 28 0 # 0 33 81 65 34 29 24 39 67 23 41 22 75 56 74 72 4 55 25 54 58 0 # 0 53 0 # | 1.0 0.0 
0 53 40 0 # 0 89 18 83 45 46 36 64 11 62 88 7 82 8 48 47 49 19 10 63 90 32 66 71 35 51 70 31 52 0 # 0 26 21 73 72 39 67 23 41 22 75 56 74 4 55 25 54 80 77 28 0 # 0 27 50 33 65 20 30 69 1 76 3 79 81 9 34 78 29 24 68 12 0 # 0 92 42 15 43 14 44 38 86 16 61 91 85 99 59 97 87 94 6 60 84 17 5 96 13 95 93 98 37 100 57 2 58 0 # | 0.9 0.09999999999999998 
0 53 40 0 # 0 21 73 39 67 23 41 22 75 56 74 72 4 55 25 54 80 77 28 0 # 0 89 18 83 45 46 36 64 11 62 88 7 82 8 48 47 49 19 10 63 90 32 66 71 35 51 70 31 52 0 # 0 92 42 15 43 14 44 38 86 16 61 91 85 99 59 97 87 94 6 60 84 17 5 96 13 95 93 98 37 100 57 2 58 0 # 0 27 50 33 65 20 30 69 1 76 3 79 81 9 34 78 29 24 68 12 26 0 # | 0.9 0.09999999999999998 
0 28 26 21 72 39 67 23 41 22 40 53 0 # 0 27 33 51 65 20 30 69 76 3 79 81 9 78 29 24 55 56 75 74 73 2 13 58 0 # 0 92 42 57 15 43 14 44 38 86 16 85 99 59 97 87 95 94 6 60 5 84 17 61 91 100 37 98 93 96 0 # 0 89 18 83 45 46 36 64 11 62 88 7 82 8 48 47 49 19 10 63 90 32 66 71 35 34 68 12 4 25 54 80 77 50 1 70 31 52 0 # | 0.9 0.09999999999999998 
0 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 2 41 22 75 56 74 4 55 25 80 77 28 0 # 0 33 81 65 34 29 24 54 39 67 23 72 73 21 40 53 0 # 0 27 69 1 76 50 30 51 9 78 79 3 68 12 26 13 94 96 5 17 61 93 98 100 37 95 58 0 # 0 60 83 45 46 36 64 11 62 88 7 18 89 6 84 8 82 48 47 49 19 10 63 90 32 66 71 35 20 70 31 52 0 # | 0.9 0.09999999999999998 
0 26 39 67 23 72 73 21 40 53 0 # 0 27 33 81 65 20 30 69 76 50 51 9 78 79 3 12 28 0 # 0 89 83 45 46 36 64 11 62 88 7 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 24 25 54 80 77 1 70 31 52 0 # 0 94 92 42 15 43 14 44 38 86 16 91 98 99 96 6 87 57 41 22 75 56 55 4 74 2 13 97 37 100 85 61 17 93 59 95 58 0 # | 0.8 0.19999999999999996 
0 27 33 81 65 20 30 69 1 76 50 51 9 78 79 3 12 28 0 # 0 26 39 67 23 72 21 40 53 0 # 0 89 83 45 46 36 64 11 62 88 7 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 24 25 54 80 77 70 31 52 0 # 0 94 92 42 15 43 14 44 38 86 16 91 98 99 96 6 87 57 41 22 75 56 55 4 74 73 2 13 97 37 100 85 61 17 93 59 95 58 0 # | 0.8 0.19999999999999996 
0 89 83 45 46 36 64 11 62 88 7 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 24 25 54 80 77 1 70 31 0 # 0 94 92 42 15 43 14 44 38 86 16 91 98 99 96 6 87 57 41 22 75 56 55 4 74 2 13 97 37 100 85 61 17 93 59 95 58 0 # 0 26 39 67 23 72 73 21 40 53 0 # 0 27 33 81 65 20 30 69 76 50 51 9 78 79 3 12 28 0 # | 0.8 0.19999999999999996 
