0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 26 53 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 30 90 64 49 46 8 18 84 17 91 100 37 93 96 13 58 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 6 94 97 87 43 57 74 56 4 25 55 54 24 80 68 77 1 0 # | 0.9 0.09999999999999998 
0 5 83 45 82 47 36 19 11 63 62 88 7 52 18 61 44 38 86 16 85 99 6 94 97 87 43 57 74 56 4 25 55 54 24 80 68 77 1 0 # 0 27 69 31 30 90 64 49 46 8 84 17 91 100 37 93 96 13 58 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 26 53 0 # | 0.9 0.09999999999999998 
0 5 83 45 82 47 36 19 11 63 62 88 7 52 18 44 38 86 16 61 85 99 6 94 97 87 43 57 74 56 4 25 55 54 24 80 68 77 1 0 # 0 27 69 31 30 90 64 49 46 8 84 17 91 100 37 93 96 13 58 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 26 53 0 # | 0.9 0.09999999999999998 
0 5 83 45 82 47 36 19 11 63 62 88 7 52 18 84 61 16 44 38 86 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 1 0 # 0 27 69 31 30 90 64 49 46 8 17 91 100 37 93 96 13 58 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # | 0.9 0.09999999999999998 
0 5 83 45 82 47 36 19 11 63 62 88 7 52 18 61 44 38 86 16 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 1 0 # 0 27 69 31 30 90 64 49 46 8 84 17 91 100 37 93 96 13 58 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # | 0.9 0.09999999999999998 
0 5 83 45 82 47 36 19 11 63 62 88 7 52 18 61 16 44 38 86 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 1 0 # 0 27 69 31 30 90 64 49 46 8 84 17 91 100 37 93 96 13 58 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # | 0.9 0.09999999999999998 
0 27 69 31 30 90 64 49 46 8 84 17 37 100 91 93 96 13 58 0 # 0 5 83 45 82 47 36 19 11 63 62 88 7 52 18 61 16 44 38 86 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 1 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # | 0.9 0.09999999999999998 
0 28 21 72 39 67 23 75 22 41 73 40 53 0 # 0 95 92 59 5 83 45 82 47 36 64 63 11 62 88 31 52 18 7 19 49 46 8 84 17 91 100 37 93 96 13 58 0 # 0 27 69 30 33 65 71 9 78 29 12 76 3 79 81 51 20 10 90 32 66 35 34 50 1 70 48 60 89 0 # 0 2 15 42 14 44 38 86 16 61 98 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 0 # | 0.9 0.09999999999999998 
0 2 15 42 14 44 38 86 16 61 98 99 94 6 0 # 0 27 69 31 88 62 7 82 18 52 0 # 0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 28 12 29 33 65 71 9 81 51 30 76 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # 0 21 72 39 67 23 75 22 41 73 40 53 0 # 0 95 92 59 5 83 45 36 47 19 11 63 90 64 49 46 8 84 85 97 87 57 43 91 100 37 93 96 13 58 0 # | 0.8 0.19999999999999996 
0 2 15 42 14 44 38 86 16 61 98 99 94 6 0 # 0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 21 72 39 67 23 75 22 41 73 40 53 0 # 0 27 69 31 88 7 82 18 52 0 # 0 95 92 59 5 83 45 36 47 19 62 63 90 11 64 49 46 8 84 85 97 87 57 43 91 100 37 93 96 13 58 0 # 0 28 12 29 33 65 71 9 81 51 30 76 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # | 0.8 0.19999999999999996 
0 2 15 42 14 44 38 86 16 98 85 61 84 99 6 94 97 87 57 43 91 100 37 93 96 13 58 0 # 0 28 21 72 39 67 23 75 22 41 73 40 53 0 # 0 27 52 69 33 65 71 51 9 81 29 12 76 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # 0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 95 92 59 5 83 45 82 47 36 19 11 63 62 7 88 31 30 90 64 49 46 8 18 0 # | 0.8 0.19999999999999996 
0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 52 83 45 5 85 44 38 86 16 61 84 99 6 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 30 90 64 49 46 8 18 94 97 87 57 43 91 100 37 93 96 13 58 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # | 0.9 0.09999999999999998 
0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 2 15 42 14 44 38 86 16 61 98 99 94 6 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # 0 21 72 39 67 23 75 22 41 73 40 53 0 # 0 95 92 59 5 83 45 36 47 19 11 63 62 88 7 82 18 52 0 # 0 27 69 31 30 90 64 49 46 8 84 85 97 87 57 43 91 100 37 93 96 13 58 0 # | 0.9 0.09999999999999998 
0 52 83 45 5 61 44 14 38 86 16 85 98 99 94 6 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 30 90 64 49 46 8 18 84 87 57 43 97 37 100 91 93 96 13 58 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # | 0.9 0.09999999999999998 
0 28 21 72 39 67 23 75 22 41 73 40 53 0 # 0 2 15 42 14 44 38 86 16 98 85 61 84 99 6 0 # 0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 95 92 59 5 83 45 82 47 36 19 11 63 62 7 88 31 30 90 64 49 46 8 18 94 97 87 57 43 91 100 37 93 96 13 58 0 # 0 27 52 69 33 65 71 51 9 81 29 12 76 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # | 0.8 0.19999999999999996 
0 27 69 31 63 11 19 36 47 82 18 7 88 62 90 64 49 46 8 84 97 87 57 43 91 100 37 93 96 13 58 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 94 6 0 # 0 26 74 56 4 25 55 54 24 80 68 77 1 0 # 0 28 12 76 33 65 71 9 29 81 51 30 50 3 79 78 34 35 66 20 32 10 70 48 17 60 89 0 # | 0.8 0.19999999999999996 
0 52 83 45 5 61 44 14 38 86 16 85 98 99 94 6 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 26 53 0 # 0 97 37 100 91 93 96 13 58 0 # 0 28 12 76 33 65 71 9 78 29 3 79 81 51 20 10 90 32 66 35 34 50 1 70 48 17 60 89 0 # 0 27 69 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 84 87 43 57 74 56 4 25 55 54 24 80 68 77 0 # | 0.9 0.09999999999999998 
