0 73 22 74 72 21 0 # 0 87 57 2 58 0 # 0 39 23 67 55 25 26 0 # 0 42 15 41 75 56 4 0 # 0 28 76 79 54 24 80 12 0 # 0 30 51 9 66 1 0 # 0 50 33 29 78 34 35 77 0 # 0 63 64 49 48 82 7 52 0 # 0 36 47 19 8 46 17 93 59 0 # 0 95 14 44 38 43 100 94 0 # 0 92 37 98 85 16 86 91 97 13 0 # 0 83 45 61 84 5 60 89 0 # 0 96 99 6 0 # 0 62 11 90 20 32 70 0 # 0 27 69 88 10 31 0 # 0 65 71 81 3 68 0 # 0 18 0 # 0 40 53 0 # | 0.8 0.19999999999999996 
0 27 69 88 10 31 0 # 0 18 0 # 0 63 64 49 48 7 52 0 # 0 50 33 29 78 34 35 77 0 # 0 28 76 79 54 24 80 12 0 # 0 95 14 44 38 43 100 94 0 # 0 92 37 98 85 91 16 86 17 93 59 0 # 0 39 23 67 55 25 26 0 # 0 2 42 15 41 75 56 4 0 # 0 96 99 6 0 # 0 30 51 9 66 1 0 # 0 65 71 81 3 68 0 # 0 87 57 97 13 0 # 0 83 45 61 84 5 60 89 0 # 0 73 22 74 72 21 58 0 # 0 36 47 19 8 46 82 0 # 0 62 11 90 20 32 70 0 # 0 40 53 0 # | 0.6 0.4 
0 18 0 # 0 27 69 88 0 # 0 87 57 2 58 0 # 0 28 76 79 3 68 0 # 0 40 53 0 # 0 65 71 81 20 32 70 0 # 0 30 51 9 66 1 0 # 0 63 64 49 48 82 7 52 0 # 0 96 99 6 0 # 0 39 23 67 55 4 25 26 0 # 0 95 14 44 38 43 100 94 0 # 0 50 33 29 78 34 35 77 0 # 0 42 15 41 75 56 74 21 0 # 0 62 11 90 10 31 0 # 0 73 22 72 54 24 80 12 0 # 0 92 37 98 85 16 86 91 97 13 0 # 0 83 45 61 84 5 60 89 0 # 0 36 47 19 8 46 17 93 59 0 # | 0.8 0.19999999999999996 
0 73 22 54 24 80 12 0 # 0 2 42 15 41 75 56 74 72 21 58 0 # 0 36 47 19 8 46 82 0 # 0 83 45 61 84 5 60 89 0 # 0 28 76 79 68 0 # 0 50 33 29 78 34 35 3 77 0 # 0 95 14 44 38 43 100 94 0 # 0 92 37 98 85 91 16 86 17 93 59 0 # 0 87 57 97 13 0 # 0 96 99 6 0 # 0 65 71 81 20 32 70 0 # 0 27 69 88 0 # 0 30 51 9 66 1 0 # 0 39 23 67 55 4 25 26 0 # 0 40 53 0 # 0 62 11 90 10 31 0 # 0 63 64 49 48 7 52 0 # 0 18 0 # | 0.6 0.4 
0 50 33 29 78 34 35 77 0 # 0 28 76 79 3 68 0 # 0 2 42 15 41 75 56 74 21 58 0 # 0 73 22 72 54 24 80 12 0 # 0 36 47 19 8 46 82 0 # 0 83 45 61 84 5 60 89 0 # 0 95 14 44 38 43 100 94 0 # 0 92 37 98 85 91 16 86 17 93 59 0 # 0 87 57 97 13 0 # 0 96 99 6 0 # 0 65 71 81 20 32 70 0 # 0 27 69 88 0 # 0 30 51 9 66 1 0 # 0 39 23 67 55 4 25 26 0 # 0 40 53 0 # 0 62 11 90 10 31 0 # 0 63 64 49 48 7 52 0 # 0 18 0 # | 0.6 0.4 
0 18 0 # 0 40 53 0 # 0 62 11 90 10 31 0 # 0 27 69 88 0 # 0 87 57 2 0 # 0 30 51 9 66 1 0 # 0 65 71 81 20 32 70 0 # 0 28 76 79 68 0 # 0 96 99 6 0 # 0 50 33 29 78 34 35 3 77 0 # 0 83 45 61 84 5 60 89 0 # 0 36 47 19 8 46 17 93 59 0 # 0 92 37 98 85 16 86 91 97 13 0 # 0 95 14 44 38 43 100 94 0 # 0 42 15 41 75 56 74 72 21 58 0 # 0 63 64 49 48 82 7 52 0 # 0 39 23 67 55 4 25 26 0 # 0 73 22 54 24 80 12 0 # | 0.6 0.4 
0 40 53 0 # 0 18 0 # 0 28 76 79 3 68 0 # 0 62 11 90 10 31 0 # 0 96 99 6 0 # 0 87 57 2 0 # 0 27 69 88 0 # 0 30 51 9 66 1 0 # 0 65 71 81 20 32 70 0 # 0 39 23 67 55 4 25 26 0 # 0 50 33 29 78 34 35 77 0 # 0 73 22 72 54 24 80 12 0 # 0 42 15 41 75 56 74 21 58 0 # 0 83 45 61 84 5 60 89 0 # 0 63 64 49 48 82 7 52 0 # 0 92 37 98 85 16 86 91 97 13 0 # 0 95 14 44 38 43 100 94 0 # 0 36 47 19 8 46 17 93 59 0 # | 0.6 0.4 
0 18 0 # 0 62 11 90 10 31 0 # 0 27 69 88 0 # 0 87 57 2 0 # 0 83 45 61 84 5 60 89 0 # 0 63 64 49 48 82 7 52 0 # 0 73 22 54 24 80 12 0 # 0 28 76 79 3 68 0 # 0 96 99 6 0 # 0 42 15 41 75 56 74 72 21 58 0 # 0 65 71 81 20 32 70 0 # 0 50 33 29 78 34 35 77 0 # 0 30 51 9 66 1 0 # 0 92 37 98 85 16 86 91 97 13 0 # 0 39 23 67 55 4 25 26 0 # 0 95 14 44 38 43 100 94 0 # 0 36 47 19 8 46 17 93 59 0 # 0 40 53 0 # | 0.6 0.4 
0 18 0 # 0 27 69 88 0 # 0 62 11 90 10 31 0 # 0 40 53 0 # 0 87 57 2 0 # 0 30 51 9 66 1 0 # 0 28 76 79 3 68 0 # 0 65 71 81 20 32 70 0 # 0 36 47 19 8 46 17 93 59 0 # 0 50 33 29 78 34 35 77 0 # 0 83 45 61 84 5 60 89 0 # 0 39 23 67 55 4 25 26 0 # 0 42 15 41 75 56 74 72 21 58 0 # 0 63 64 49 48 82 7 52 0 # 0 73 22 54 24 80 12 0 # 0 95 14 44 38 43 100 94 0 # 0 96 99 6 0 # 0 92 98 85 91 16 86 37 97 13 0 # | 0.6 0.4 
0 87 57 2 0 # 0 92 42 15 41 75 56 74 72 21 58 0 # 0 73 22 54 24 80 12 0 # 0 36 47 19 8 46 17 93 0 # 0 94 59 98 85 16 86 91 97 13 0 # 0 39 23 67 55 4 25 26 0 # 0 95 14 44 38 43 100 37 0 # 0 30 51 9 66 1 0 # 0 83 45 61 84 5 60 89 0 # 0 28 76 79 3 68 0 # 0 96 99 6 0 # 0 50 33 29 78 34 35 77 0 # 0 27 69 88 0 # 0 40 53 0 # 0 63 64 49 48 82 7 52 0 # 0 62 11 90 10 31 0 # 0 65 71 81 20 32 70 0 # 0 18 0 # | 0.6 0.4 
0 92 42 15 41 54 24 80 12 0 # 0 73 22 75 56 74 72 21 58 0 # 0 87 57 2 0 # 0 36 47 19 8 46 17 93 0 # 0 94 59 98 85 16 86 91 97 13 0 # 0 39 23 67 55 4 25 26 0 # 0 95 14 44 38 43 100 37 0 # 0 30 51 9 66 1 0 # 0 83 45 61 84 5 60 89 0 # 0 28 76 79 3 68 0 # 0 96 99 6 0 # 0 50 33 29 78 34 35 77 0 # 0 27 69 88 0 # 0 40 53 0 # 0 63 64 49 48 82 7 52 0 # 0 62 11 90 10 31 0 # 0 65 71 81 20 32 70 0 # 0 18 0 # | 0.6 0.4 
