0 53 40 26 0 # 0 33 65 71 66 20 32 70 0 # 0 28 12 29 79 78 34 35 77 0 # 0 21 73 75 22 41 56 74 58 0 # 0 62 88 7 18 0 # 0 47 36 19 49 46 48 0 # 0 72 39 23 67 55 54 4 25 0 # 0 83 45 82 8 84 17 60 89 0 # 0 42 14 44 38 86 43 100 91 93 0 # 0 27 52 69 76 50 1 0 # 0 31 30 51 9 81 3 68 24 80 0 # 0 63 64 11 90 10 0 # 0 2 15 57 87 97 13 0 # 0 95 92 98 99 94 6 0 # 0 59 5 61 16 85 37 96 0 # | 0.5 0.5 
0 31 30 51 9 81 3 68 24 80 0 # 0 27 52 69 76 50 0 # 0 95 92 98 99 94 6 0 # 0 2 15 57 87 97 13 0 # 0 47 36 19 49 46 48 0 # 0 33 65 71 66 20 32 70 0 # 0 21 73 75 22 41 56 74 58 0 # 0 42 14 44 38 86 43 100 91 93 0 # 0 83 45 82 8 84 17 60 89 0 # 0 59 5 61 16 85 37 96 0 # 0 62 88 7 18 0 # 0 63 64 11 90 10 1 0 # 0 72 39 23 67 55 54 4 25 0 # 0 53 40 26 0 # 0 28 12 29 79 78 34 35 77 0 # | 0.3 0.7 
0 63 11 64 49 46 48 0 # 0 72 39 23 67 55 54 4 25 0 # 0 47 36 19 90 10 1 0 # 0 62 88 7 18 0 # 0 21 73 75 22 41 56 74 58 0 # 0 53 40 26 0 # 0 27 52 69 76 50 0 # 0 95 92 98 99 94 6 0 # 0 42 14 44 38 86 43 100 91 93 0 # 0 2 15 57 87 97 13 0 # 0 59 5 61 16 85 37 96 0 # 0 83 45 82 8 84 17 60 89 0 # 0 33 65 71 66 20 32 70 0 # 0 28 12 29 79 78 34 35 77 0 # 0 31 30 51 9 81 3 68 24 80 0 # | 0.3 0.7 
0 53 40 26 0 # 0 62 88 7 18 0 # 0 27 52 69 76 50 0 # 0 63 11 64 49 46 48 0 # 0 2 15 57 87 43 100 91 93 0 # 0 47 36 19 90 10 1 0 # 0 33 65 71 66 20 32 70 0 # 0 83 45 82 8 84 96 0 # 0 95 92 98 99 94 6 0 # 0 59 5 61 16 85 37 97 13 0 # 0 42 14 44 38 86 17 60 89 0 # 0 31 30 51 9 81 3 68 24 80 0 # 0 21 73 75 22 41 56 74 58 0 # 0 72 39 23 67 55 54 4 25 0 # 0 28 12 29 79 78 34 35 77 0 # | 0.2 0.8 
0 47 36 19 90 10 1 0 # 0 53 40 26 0 # 0 33 65 71 66 20 32 70 0 # 0 52 62 88 7 0 # 0 95 92 98 99 94 6 96 0 # 0 27 69 76 50 0 # 0 28 12 29 79 78 34 35 77 0 # 0 21 73 75 22 41 56 74 58 0 # 0 63 11 64 49 46 48 0 # 0 45 83 82 8 18 0 # 0 59 5 61 16 85 84 17 60 89 0 # 0 72 39 23 67 55 54 4 25 0 # 0 31 30 51 9 81 3 68 24 80 0 # 0 2 15 57 87 43 100 91 93 0 # 0 42 14 44 38 86 37 97 13 0 # | 0.3 0.7 
0 83 45 82 18 6 0 # 0 5 61 85 99 94 0 # 0 53 40 26 0 # 0 33 65 71 66 20 32 70 0 # 0 31 62 88 7 8 0 # 0 47 36 19 49 46 48 0 # 0 63 64 11 90 10 1 0 # 0 52 69 76 50 0 # 0 27 30 51 9 81 3 68 24 80 0 # 0 2 15 57 87 97 96 13 0 # 0 92 42 14 44 38 43 37 100 91 93 0 # 0 72 39 23 67 55 54 4 25 0 # 0 95 59 98 16 86 84 17 60 89 0 # 0 28 12 29 79 78 34 35 77 0 # 0 21 73 75 22 41 56 74 58 0 # | 0.2 0.8 
0 53 40 26 0 # 0 83 45 82 18 6 0 # 0 47 36 19 49 46 48 0 # 0 59 5 61 85 99 94 0 # 0 63 64 11 90 10 32 70 0 # 0 72 39 23 67 55 54 4 25 0 # 0 31 62 88 7 8 0 # 0 95 92 98 16 86 84 17 60 89 0 # 0 33 65 71 66 20 1 0 # 0 52 69 76 50 0 # 0 27 30 51 9 81 3 68 24 80 0 # 0 28 12 29 79 78 34 35 77 0 # 0 21 73 75 22 41 56 74 58 0 # 0 2 15 57 87 97 96 13 0 # 0 42 14 44 38 43 37 100 91 93 0 # | 0.2 0.8 
0 95 92 98 16 86 84 17 60 89 0 # 0 59 42 14 44 38 43 37 100 91 93 0 # 0 5 61 85 99 94 96 0 # 0 2 15 57 87 97 13 0 # 0 27 30 51 9 81 50 0 # 0 52 69 76 79 3 68 24 80 77 0 # 0 83 45 82 18 6 0 # 0 31 62 88 7 8 0 # 0 33 65 71 66 20 32 70 0 # 0 63 64 11 90 10 0 # 0 72 39 23 67 55 54 4 25 0 # 0 21 73 75 22 41 56 74 58 0 # 0 53 40 26 0 # 0 28 12 29 78 34 35 1 0 # 0 47 36 19 49 46 48 0 # | 0.2 0.8 
0 63 11 64 49 46 48 0 # 0 47 36 19 90 10 32 70 0 # 0 33 65 71 9 66 20 1 0 # 0 72 39 23 67 55 54 4 25 0 # 0 12 29 79 3 68 24 80 0 # 0 53 40 26 0 # 0 27 69 31 30 51 50 0 # 0 5 45 83 99 94 6 0 # 0 62 88 7 18 0 # 0 52 82 8 84 96 0 # 0 21 73 75 22 41 56 74 58 0 # 0 59 95 92 98 16 61 85 37 97 13 0 # 0 42 14 44 38 86 17 60 89 0 # 0 2 15 57 87 43 100 91 93 0 # 0 28 76 81 78 34 35 77 0 # | 0.2 0.8 
0 52 69 76 79 3 68 24 80 77 0 # 0 27 30 51 9 81 50 0 # 0 5 61 85 99 94 0 # 0 2 15 57 87 97 96 13 0 # 0 83 45 82 18 6 0 # 0 95 59 98 16 86 84 17 60 89 0 # 0 92 42 14 44 38 43 37 100 91 93 0 # 0 31 62 88 7 8 0 # 0 33 65 71 66 20 32 70 0 # 0 63 64 11 90 10 0 # 0 72 39 23 67 55 54 4 25 0 # 0 21 73 75 22 41 56 74 58 0 # 0 53 40 26 0 # 0 28 12 29 78 34 35 1 0 # 0 47 36 19 49 46 48 0 # | 0.2 0.8 
0 95 92 98 16 86 84 17 60 89 0 # 0 59 42 14 44 38 43 37 100 91 93 0 # 0 27 30 51 9 81 50 0 # 0 52 69 76 79 3 68 24 80 77 0 # 0 5 61 85 99 94 0 # 0 2 15 57 87 97 96 13 0 # 0 83 45 82 18 6 0 # 0 31 62 88 7 8 0 # 0 33 65 71 66 20 32 70 0 # 0 63 64 11 90 10 0 # 0 72 39 23 67 55 54 4 25 0 # 0 21 73 75 22 41 56 74 58 0 # 0 53 40 26 0 # 0 28 12 29 78 34 35 1 0 # 0 47 36 19 49 46 48 0 # | 0.2 0.8 
