0 28 33 65 71 29 12 76 79 81 51 9 78 34 50 3 68 54 4 55 25 24 80 77 0 # 0 59 98 14 38 44 16 61 86 85 99 94 6 53 26 0 # 0 95 92 42 15 2 73 21 40 87 57 43 37 97 96 13 0 # 0 52 69 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 46 17 91 100 93 60 89 0 # 0 5 83 45 82 47 36 49 48 0 # 0 72 39 67 23 75 22 41 56 74 58 0 # | 1.0 0.0 
0 28 33 65 71 29 12 76 79 81 51 9 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 95 59 92 98 14 38 44 16 61 86 85 99 94 6 53 0 # 0 42 15 2 73 21 40 87 57 43 37 97 96 13 0 # 0 52 69 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 46 17 91 100 93 60 89 0 # 0 5 83 45 82 47 36 49 48 0 # 0 72 39 67 23 75 22 41 56 74 58 0 # | 0.9 0.09999999999999998 
0 59 98 14 38 44 16 61 86 85 99 94 6 53 0 # 0 95 92 42 15 2 73 21 40 87 57 43 37 97 96 13 0 # 0 28 33 65 71 29 12 76 79 81 51 9 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 52 69 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 46 17 91 100 93 60 89 0 # 0 5 83 45 82 47 36 49 48 0 # 0 72 39 67 23 75 22 41 56 74 58 0 # | 0.9 0.09999999999999998 
0 59 98 14 38 44 16 61 86 85 99 94 6 53 0 # 0 95 92 42 15 2 73 21 40 87 57 43 37 97 96 13 0 # 0 28 33 65 71 29 12 76 79 81 51 9 78 34 3 50 68 26 54 4 55 25 24 80 77 0 # 0 52 69 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 46 17 91 100 93 60 89 0 # 0 5 83 45 82 47 36 49 48 0 # 0 72 39 67 23 75 22 41 56 74 58 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 51 9 81 79 78 34 50 3 68 26 0 # 0 95 92 59 98 14 38 44 16 61 86 85 99 94 6 53 0 # 0 2 42 15 73 21 40 87 57 41 22 74 58 0 # 0 5 83 45 82 47 36 49 46 48 60 17 91 100 93 89 0 # 0 52 69 12 29 76 30 90 10 20 66 35 32 70 1 0 # 0 72 39 67 23 75 56 4 54 55 25 24 80 77 0 # 0 27 31 63 64 11 19 62 88 7 18 8 84 96 97 37 43 13 0 # | 0.9 0.09999999999999998 
0 27 31 63 62 88 7 18 84 8 46 17 91 100 93 60 89 0 # 0 5 83 45 82 47 36 19 11 64 49 48 0 # 0 59 98 14 38 44 16 61 86 85 99 94 6 53 0 # 0 95 92 42 15 2 73 21 40 87 57 43 37 97 96 13 0 # 0 28 33 65 71 29 12 76 79 81 51 9 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 52 69 30 90 10 20 66 35 32 70 1 0 # 0 72 39 67 23 75 22 41 56 74 58 0 # | 0.9 0.09999999999999998 
0 5 83 45 82 47 36 49 46 48 17 60 89 0 # 0 27 31 63 64 11 19 62 88 7 18 8 84 96 97 37 43 100 91 93 0 # 0 52 69 12 29 76 30 90 10 20 66 35 32 70 1 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 26 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 54 4 55 25 24 80 77 0 # 0 2 72 39 75 23 67 21 73 40 87 57 41 22 56 74 13 58 0 # | 1.0 0.0 
0 2 72 39 75 23 67 21 73 40 87 57 41 22 56 74 13 0 # 0 52 69 12 29 76 30 90 10 20 66 35 32 70 1 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 26 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 54 4 55 25 24 80 77 0 # 0 5 83 45 82 47 36 49 46 48 17 60 89 0 # 0 27 31 63 64 11 19 62 88 7 18 8 84 96 97 37 43 100 91 93 58 0 # | 1.0 0.0 
0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 2 72 39 75 23 67 21 73 40 87 57 41 22 56 74 13 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 27 31 63 64 11 19 62 88 7 18 8 84 96 97 37 43 100 91 93 58 0 # 0 52 69 12 29 76 30 90 10 20 66 35 32 70 1 0 # 0 5 83 45 82 47 36 49 46 48 17 60 89 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 2 72 39 75 23 67 21 73 40 87 57 41 22 56 74 13 0 # 0 5 83 45 82 47 36 19 62 88 7 18 8 84 96 97 37 43 100 91 93 58 0 # 0 52 69 12 29 76 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 11 64 49 46 48 17 60 89 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 2 72 39 75 23 67 21 73 40 87 57 41 22 56 74 13 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 5 83 45 82 47 36 19 11 64 49 46 48 17 60 89 0 # 0 27 31 63 62 88 7 18 8 84 96 97 37 43 100 91 93 58 0 # 0 52 69 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
