0 53 40 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 6 87 57 43 97 37 98 100 85 93 59 96 0 # 0 27 69 1 30 90 10 20 66 35 32 70 31 52 0 # 0 94 95 92 42 15 14 38 44 16 61 86 91 99 5 84 8 82 48 49 46 17 60 89 0 # 0 26 21 39 67 23 72 73 41 22 75 56 74 2 13 58 0 # 0 28 33 65 71 29 3 76 50 51 9 81 79 78 34 68 54 4 55 25 24 80 77 12 0 # | 0.9 0.09999999999999998 
0 53 0 # 0 39 67 23 72 21 40 73 41 22 75 56 74 2 13 58 0 # 0 94 95 92 42 15 14 38 44 16 61 86 91 99 5 84 8 82 48 49 46 17 60 89 0 # 0 27 69 1 30 90 10 20 66 35 32 70 31 52 0 # 0 28 33 65 71 29 3 76 50 51 9 81 79 78 34 68 54 4 55 25 24 80 77 12 26 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 6 87 57 43 97 37 98 100 85 93 59 96 0 # | 0.9 0.09999999999999998 
0 27 69 28 12 29 76 1 30 90 10 20 66 35 32 70 31 52 0 # 0 6 87 57 41 22 75 56 74 2 58 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 96 99 5 84 8 82 48 49 46 17 85 91 100 37 98 93 60 89 0 # 0 94 95 59 92 42 15 14 38 44 16 61 86 43 97 13 0 # 0 26 39 67 23 72 73 21 40 53 0 # 0 50 33 34 65 71 51 9 81 78 79 3 68 54 4 55 25 24 80 77 0 # | 0.9 0.09999999999999998 
0 28 26 39 67 23 72 21 40 73 41 22 75 56 74 4 55 25 24 80 77 0 # 0 50 33 34 65 71 29 76 51 9 81 78 79 3 68 54 12 0 # 0 94 92 37 42 15 14 38 44 16 61 86 84 8 82 48 49 46 17 5 60 96 93 85 91 100 98 59 95 58 0 # 0 27 69 1 30 90 10 20 66 35 32 70 31 52 89 0 # 0 53 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 99 6 87 2 57 43 97 13 0 # | 0.9 0.09999999999999998 
0 53 0 # 0 27 69 1 30 90 10 20 66 35 32 70 31 52 89 0 # 0 94 92 37 42 15 14 38 44 16 61 86 84 8 82 48 49 46 17 5 60 96 59 93 85 91 100 98 95 58 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 99 6 87 2 57 43 97 13 0 # 0 50 33 34 65 71 29 76 51 9 81 78 79 3 68 54 12 0 # 0 28 26 39 67 23 72 21 40 73 41 22 75 56 74 4 55 25 24 80 77 0 # | 0.9 0.09999999999999998 
0 53 0 # 0 27 69 1 30 90 10 20 66 35 32 70 31 52 89 0 # 0 33 34 65 71 29 76 50 51 9 81 78 79 3 68 54 12 0 # 0 28 26 39 67 23 72 21 40 73 41 22 75 56 74 4 55 25 24 80 77 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 99 6 87 2 57 43 97 13 0 # 0 94 92 37 42 15 14 38 44 16 61 86 84 8 82 48 49 46 17 5 60 96 93 85 91 100 98 59 95 58 0 # | 0.9 0.09999999999999998 
0 53 0 # 0 33 34 65 71 29 76 50 51 9 81 78 79 3 68 54 12 0 # 0 94 95 92 42 15 14 38 44 91 61 16 86 84 8 82 48 49 46 17 5 60 96 59 93 85 100 98 37 58 0 # 0 27 69 1 30 90 10 20 66 35 32 70 31 52 89 0 # 0 28 26 39 67 23 72 21 40 73 41 22 75 56 74 4 55 25 24 80 77 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 99 6 87 2 57 43 97 13 0 # | 0.9 0.09999999999999998 
0 94 95 92 98 37 42 15 14 38 44 91 61 16 86 85 99 5 84 8 82 48 49 46 83 96 59 97 43 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 79 81 9 51 90 10 20 66 35 32 70 31 0 # 0 52 45 47 36 63 64 11 19 62 88 7 18 6 87 57 41 22 75 56 74 2 13 58 0 # 0 27 69 1 30 50 76 68 54 4 55 25 24 80 3 77 12 0 # 0 26 39 67 23 72 73 21 40 53 0 # | 1.0 0.0 
0 27 69 1 30 50 76 3 68 54 4 55 25 24 80 77 12 26 58 0 # 0 28 33 65 71 29 34 78 79 81 9 51 90 10 20 66 35 32 70 31 52 0 # 0 39 67 23 72 73 21 40 53 0 # 0 45 47 36 63 64 11 19 62 88 7 18 6 87 57 41 22 75 56 74 2 13 0 # 0 94 95 92 42 15 14 38 44 91 61 16 86 85 99 5 84 8 82 48 49 46 83 96 59 98 37 97 43 100 93 17 60 89 0 # | 1.0 0.0 
0 39 67 23 72 73 21 40 53 0 # 0 28 33 65 71 29 34 78 79 81 9 51 90 10 20 66 35 32 70 31 52 0 # 0 27 69 1 30 50 76 3 68 54 4 55 25 24 80 77 12 26 58 0 # 0 45 47 36 63 64 11 19 62 88 7 18 6 87 57 41 22 75 56 74 2 13 0 # 0 94 95 92 42 15 14 38 44 16 61 86 85 99 5 84 8 82 48 49 46 83 96 59 98 37 97 43 91 100 93 17 60 89 0 # | 1.0 0.0 
0 94 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 97 43 13 95 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 94 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 95 97 43 13 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 95 97 43 13 94 59 98 37 100 93 17 60 89 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 96 6 53 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # 0 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 95 97 43 13 94 59 98 37 100 93 17 60 89 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 38 44 16 61 85 91 86 84 8 82 48 49 46 83 5 96 95 97 43 13 94 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 27 69 76 50 1 30 90 10 20 66 35 32 70 31 52 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 95 97 43 13 94 59 98 37 100 93 17 60 89 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 95 97 43 13 94 59 37 98 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 91 85 61 16 44 38 86 84 83 8 82 48 49 46 5 96 95 97 43 13 94 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 38 44 16 61 86 91 85 84 8 82 48 49 46 83 5 96 95 97 43 13 94 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 59 97 43 13 94 95 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 94 97 43 13 95 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 94 95 97 43 13 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 45 47 36 63 64 11 19 62 88 7 18 99 6 53 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 45 47 36 63 64 11 19 62 88 7 18 6 53 0 # 0 92 42 15 14 91 61 16 44 38 86 85 99 84 8 82 48 49 46 83 5 96 95 97 43 13 94 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 52 0 # | 0.9 0.09999999999999998 
0 45 47 36 63 64 11 19 62 7 88 52 18 99 6 53 0 # 0 27 69 1 76 50 30 90 10 20 66 35 32 70 31 0 # 0 94 92 42 15 14 91 85 61 16 44 38 86 84 8 82 48 49 46 83 5 96 95 97 43 13 59 98 37 100 93 17 60 89 0 # 0 28 33 65 71 29 34 78 9 51 81 79 3 68 54 0 # 0 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 24 80 77 12 26 58 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 38 44 91 61 16 86 85 99 5 84 8 48 49 46 82 7 10 32 70 31 0 # 0 39 67 23 75 72 73 21 40 53 0 # 0 28 33 65 71 30 90 51 81 79 78 9 20 66 35 34 68 77 0 # 0 83 45 47 36 63 64 11 19 62 88 52 18 6 87 2 22 41 57 43 97 95 13 94 96 59 98 37 100 93 17 60 89 0 # 0 27 69 1 50 3 29 76 0 # 0 54 56 74 4 55 25 24 80 12 26 58 0 # | 0.8 0.19999999999999996 
0 39 67 23 72 73 21 40 53 0 # 0 94 95 92 42 15 14 38 44 91 61 16 86 85 99 5 84 8 82 48 49 46 83 96 59 98 37 97 43 100 93 17 60 89 0 # 0 45 47 36 63 64 11 19 62 88 7 18 6 87 57 41 22 75 56 74 2 13 0 # 0 68 54 4 55 25 24 80 3 77 12 26 58 0 # 0 27 69 1 30 50 76 0 # 0 28 33 65 71 29 34 78 79 81 9 51 90 10 20 66 35 32 70 31 52 0 # | 0.8 0.19999999999999996 
0 39 67 23 72 73 21 40 53 0 # 0 27 69 1 30 50 76 0 # 0 3 68 54 4 55 25 24 80 77 12 26 58 0 # 0 28 33 65 71 29 34 78 79 81 9 51 90 10 20 66 35 32 70 31 0 # 0 94 95 92 42 15 14 38 44 91 61 16 86 85 99 5 84 8 82 48 49 46 83 96 59 98 37 97 43 100 93 17 60 89 0 # 0 45 47 36 63 64 11 19 62 88 7 52 18 6 87 57 41 22 75 56 74 2 13 0 # | 0.8 0.19999999999999996 
