0 52 7 88 62 63 90 30 51 9 81 78 79 76 12 26 40 53 0 # 0 27 69 1 50 33 3 29 34 71 65 35 66 20 32 10 70 31 0 # 0 28 21 73 72 39 67 23 41 15 57 2 22 74 75 56 4 25 55 54 24 80 68 77 0 # 0 83 45 82 48 47 36 19 11 64 49 46 8 18 84 17 5 60 89 0 # 0 92 42 14 44 38 86 16 61 91 85 99 96 6 94 97 87 43 100 37 98 93 59 95 13 58 0 # | 0.9 0.09999999999999998 
0 92 42 14 44 38 86 16 61 91 85 99 96 6 94 95 97 87 43 100 37 98 93 59 13 58 0 # 0 27 69 1 50 33 3 29 34 71 65 35 66 20 32 10 70 31 0 # 0 28 21 73 72 39 67 23 41 15 57 2 22 74 75 56 4 25 55 54 24 80 68 77 0 # 0 52 7 88 62 63 90 30 51 9 81 78 79 76 12 26 40 53 0 # 0 83 45 82 48 47 36 19 11 64 49 46 8 18 84 17 5 60 89 0 # | 0.9 0.09999999999999998 
0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 83 84 17 91 100 37 98 93 5 60 89 13 58 0 # 0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 94 59 92 42 15 14 44 38 86 16 61 85 99 96 6 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.9 0.09999999999999998 
0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 92 42 15 14 44 38 86 16 61 85 59 99 96 6 94 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 83 84 17 91 100 37 98 93 5 60 89 13 58 0 # | 0.8 0.19999999999999996 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 30 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 31 52 89 0 # 0 45 36 47 48 7 88 62 63 90 11 64 49 19 46 8 82 18 83 84 17 60 5 85 91 100 37 98 93 59 13 58 0 # 0 92 42 15 14 44 38 86 16 61 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.9 0.09999999999999998 
0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 83 84 17 91 100 93 5 60 89 13 58 0 # 0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 92 42 15 14 44 38 86 16 61 85 98 37 59 99 96 6 94 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 83 45 48 47 36 19 11 63 62 88 30 90 64 49 46 8 82 7 18 60 17 91 100 37 98 85 93 59 13 58 0 # 0 92 42 15 14 44 38 86 16 61 84 5 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 31 52 89 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # | 0.9 0.09999999999999998 
0 92 42 15 14 44 38 86 16 61 84 5 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 52 89 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 83 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 82 7 18 60 17 91 100 37 98 85 93 59 13 58 0 # | 0.9 0.09999999999999998 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 92 42 15 14 44 38 86 16 61 84 5 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 30 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 31 52 89 0 # 0 45 36 47 82 7 88 62 63 90 11 64 49 19 48 46 8 83 18 60 17 85 91 100 37 98 93 59 13 58 0 # | 0.9 0.09999999999999998 
0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 52 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 82 7 18 83 84 17 91 100 93 5 60 89 13 58 0 # 0 92 42 15 14 44 38 86 16 61 85 98 37 59 99 96 6 94 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 92 42 15 14 44 38 86 16 61 85 98 37 59 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 52 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 82 7 18 83 84 17 91 100 93 5 60 89 13 58 0 # | 0.8 0.19999999999999996 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 92 42 15 14 44 38 86 16 61 85 98 37 59 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 52 83 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 82 7 18 5 84 17 91 100 93 60 89 13 58 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # | 0.8 0.19999999999999996 
